taluka_en,taluka_mr,zone_en,zone_mr,survey,agricultural,residentialPlot,residentialBuiltup,commercialBuiltup
Karveer,करवीर,Shahupuri,शाहूपुरी,CTS (sample),2500,46000,64000,108000
Karveer,करवीर,Rajarampuri,राजारामपुरी,CTS (sample),2300,42000,59000,96000
Karveer,करवीर,Kasaba Bawada,कसबा बावडा,CTS (sample),1800,30000,43000,70000
Karveer,करवीर,Phulewadi,फुलेवाडी,CTS (sample),1500,22000,32000,52000
Hatkanangle,हातकणंगले,Ichalkaranji (urban),इचलकरंजी (शहरी),CTS (sample),1600,24000,38000,62000
Hatkanangle,हातकणंगले,Rural,ग्रामीण,Survey no. (sample),950,8500,22000,34000
Shirol,शिरोळ,Jaysingpur (urban),जयसिंगपूर (शहरी),CTS (sample),1000,18000,31000,50000
Panhala,पन्हाळा,Panhala (town),पन्हाळा (गाव),Survey no. (sample),700,9000,26000,42000
Kagal,कागल,Kagal (town),कागल (गाव),Survey no. (sample),850,11000,28000,46000
Gadhinglaj,गडहिंग्लज,Gadhinglaj (town),गडहिंग्लज (गाव),Survey no. (sample),650,8000,24000,39000
Radhanagari,राधानगरी,Radhanagari (town),राधानगरी (गाव),Survey no. (sample),500,6000,20000,32000
Shahuwadi,शाहूवाडी,Malkapur (town),मलकापूर (गाव),Survey no. (sample),450,5500,18000,29000
Bhudargad,भुदरगड,Gargoti (town),गारगोटी (गाव),Survey no. (sample),480,5800,19000,30000
Ajara,आजरा,Ajara (town),आजरा (गाव),Survey no. (sample),420,5000,17000,27000
Chandgad,चंदगड,Chandgad (town),चंदगड (गाव),Survey no. (sample),400,4500,16000,25000
Gaganbawada,गगनबावडा,Gaganbawada (town),गगनबावडा (गाव),Survey no. (sample),380,4000,15000,24000
