district_id,taluka_id,village_id,prior_name,new_name,prior_lgd,new_lgd
"ahilyanagar","shevgaon","submerged","SUBMERGED","SUBMERGED","",""
"ahilyanagar","shevgaon","submerged","SUBMERGED","SUBMERGED","",""
"ahilyanagar","shevgaon","submerged","SUBMERGED","SUBMERGED","",""
"ahilyanagar","shevgaon","submerged","SUBMERGED","SUBMERGED","",""
"ahilyanagar","shevgaon","submerged","SUBMERGED","SUBMERGED","",""
"ahilyanagar","shevgaon","submerged","SUBMERGED","SUBMERGED","",""
"ahilyanagar","shevgaon","submerged","SUBMERGED","SUBMERGED","",""
"ahilyanagar","shevgaon","submerged","SUBMERGED","SUBMERGED","",""
"d-503","chikhaldara","reserved-forest","RESERVED FOREST","RESERVED FOREST","",""
"d-503","dharni","reserved-forest","RESERVED FOREST","RESERVED FOREST","",""
"bhandara","bhandara","mahaka-reserved-forest","MAHAKA RESERVED FOREST","MAHAKA RESERVED FOREST","",""
"buldhana","sangrampur","ambabarwa-reserved-forest","AMBABARWA RESERVED FOREST","AMBABARWA RESERVED FOREST","",""
"buldhana","sangrampur","ambabarwa-reserved-forest","AMBABARWA RESERVED FOREST","AMBABARWA RESERVED FOREST","",""
"chandrapur","brahmapuri","reserved-forest","RESERVED FOREST","RESERVED FOREST","",""
"chandrapur","brahmapuri","forest","FOREST","FOREST","",""
"chandrapur","brahmapuri","brahmapuri-reserved-forest","BRAHMAPURI RESERVED FOREST","BRAHMAPURI RESERVED FOREST","",""
"chandrapur","brahmapuri","reserved-forest","RESERVED FOREST","RESERVED FOREST","",""
"chandrapur","nagbhir","reserved-forest","RESERVED FOREST","RESERVED FOREST","",""
"chandrapur","nagbhir","bramhapuri-reserved-forest","BRAMHAPURI  RESERVED FOREST","BRAMHAPURI  RESERVED FOREST","",""
"chandrapur","nagbhir","bramhapuri-reserved-forest","BRAMHAPURI  RESERVED FOREST","BRAMHAPURI  RESERVED FOREST","",""
"chandrapur","nagbhir","reserved-forest","RESERVED FOREST","RESERVED FOREST","",""
"chandrapur","warora","kawadapur-reserved-forest","KAWADAPUR RESERVED FOREST","KAWADAPUR RESERVED FOREST","",""
"chandrapur","sawali","forest","FOREST","FOREST","",""
"chandrapur","sawali","forest","FOREST","FOREST","",""
"chandrapur","warora","forest","FOREST","FOREST","",""
"chandrapur","warora","forest","FOREST","FOREST","",""
"chhatrapati-sambhajinagar","paithan","submerged","SUBMERGED","SUBMERGED","",""
"chhatrapati-sambhajinagar","paithan","submerged","SUBMERGED","SUBMERGED","",""
"chhatrapati-sambhajinagar","paithan","submerged","SUBMERGED","SUBMERGED","",""
"chhatrapati-sambhajinagar","paithan","submerged","SUBMERGED","SUBMERGED","",""
"chhatrapati-sambhajinagar","paithan","submerged","SUBMERGED","SUBMERGED","",""
"chhatrapati-sambhajinagar","paithan","submerged","SUBMERGED","SUBMERGED","",""
"dharashiv","kalamb","submerged","SUBMERGED","SUBMERGED","",""
"dharashiv","kalamb","submerged","SUBMERGED","SUBMERGED","",""
"dhule","shirpur","reserved-forest","RESERVED FOREST","RESERVED FOREST","",""
"dhule","shirpur","reserved-forest","RESERVED FOREST","RESERVED FOREST","",""
"gadchiroli","dhanora","reserved-forest","RESERVED FOREST","RESERVED FOREST","",""
"gadchiroli","dhanora","reserved-forest","RESERVED FOREST","RESERVED FOREST","",""
"gadchiroli","dhanora","reserved-forest","RESERVED FOREST","RESERVED FOREST","",""
"gadchiroli","aheri","reserved-forest","RESERVED FOREST","RESERVED FOREST","",""
"gadchiroli","aheri","reserved-forest","RESERVED FOREST","RESERVED FOREST","",""
"gadchiroli","armori","reserved-forest","RESERVED FOREST","RESERVED FOREST","",""
"gadchiroli","dhanora","reserved-forest","RESERVED FOREST","RESERVED FOREST","",""
"gadchiroli","korchi","reserved-forest","RESERVED FOREST","RESERVED FOREST","",""
"gadchiroli","chamorshi","reserved-forest","RESERVED FOREST","RESERVED FOREST","",""
"gadchiroli","chamorshi","reserved-forest","RESERVED FOREST","RESERVED FOREST","",""
"gadchiroli","chamorshi","ghot-reserved-forest","GHOT RESERVED FOREST","GHOT RESERVED FOREST","",""
"gadchiroli","chamorshi","ghot-reserved-forest","GHOT RESERVED FOREST","GHOT RESERVED FOREST","",""
"gadchiroli","dhanora","reserved-forest","RESERVED FOREST","RESERVED FOREST","",""
"gadchiroli","dhanora","reserved-forest","RESERVED FOREST","RESERVED FOREST","",""
"gadchiroli","dhanora","reserved-forest","RESERVED FOREST","RESERVED FOREST","",""
"gadchiroli","dhanora","reserved-forest","RESERVED FOREST","RESERVED FOREST","",""
"gadchiroli","dhanora","reserved-forest","RESERVED FOREST","RESERVED FOREST","",""
"gadchiroli","dhanora","reserved-forest","RESERVED FOREST","RESERVED FOREST","",""
"gadchiroli","dhanora","reserved-forest","RESERVED FOREST","RESERVED FOREST","",""
"gadchiroli","dhanora","reserved-forest","RESERVED FOREST","RESERVED FOREST","",""
"gadchiroli","dhanora","reserved-forest","RESERVED FOREST","RESERVED FOREST","",""
"gadchiroli","etapalli","reserved-forest","RESERVED FOREST","RESERVED FOREST","",""
"gadchiroli","etapalli","reserved-forest","RESERVED FOREST","RESERVED FOREST","",""
"gadchiroli","etapalli","reserved-forest","RESERVED FOREST","RESERVED FOREST","",""
"gadchiroli","etapalli","reserved-forest","RESERVED FOREST","RESERVED FOREST","",""
"gadchiroli","gadchiroli","gadchiroli-reserved-forest","GADCHIROLI RESERVED FOREST","GADCHIROLI RESERVED FOREST","",""
"gadchiroli","gadchiroli","reserved-forest","RESERVED FOREST","RESERVED FOREST","",""
"gadchiroli","gadchiroli","reserved-forest","RESERVED FOREST","RESERVED FOREST","",""
"gadchiroli","korchi","reserved-forest","RESERVED FOREST","RESERVED FOREST","",""
"gadchiroli","korchi","reserved-forest","RESERVED FOREST","RESERVED FOREST","",""
"gadchiroli","korchi","reserved-forest","RESERVED FOREST","RESERVED FOREST","",""
"gadchiroli","kurkheda","reserved-forest","RESERVED FOREST","RESERVED FOREST","",""
"gadchiroli","kurkheda","reserved-forest","RESERVED FOREST","RESERVED FOREST","",""
"gadchiroli","kurkheda","reserved-forest","RESERVED FOREST","RESERVED FOREST","",""
"gadchiroli","kurkheda","reserved-forest","RESERVED FOREST","RESERVED FOREST","",""
"gondia","arjuni-morgaon","reserved-forest","RESERVED FOREST","RESERVED FOREST","",""
"gondia","arjuni-morgaon","reserved-forest","RESERVED FOREST","RESERVED FOREST","",""
"gondia","arjuni-morgaon","reserved-forest","RESERVED FOREST","RESERVED FOREST","",""
"bhandara","sakoli","reserved-forest","RESERVED FOREST","RESERVED FOREST","",""
"gondia","arjuni-morgaon","reserved-forest","RESERVED FOREST","RESERVED FOREST","",""
"gondia","arjuni-morgaon","reserved-forest","RESERVED FOREST","RESERVED FOREST","",""
"gondia","arjuni-morgaon","reserved-forest","RESERVED FOREST","RESERVED FOREST","",""
"gondia","arjuni-morgaon","reserved-forest","RESERVED FOREST","RESERVED FOREST","",""
"gondia","arjuni-morgaon","reserved-forest","RESERVED FOREST","RESERVED FOREST","",""
"jalgaon","parola","reserved-forest","RESERVED FOREST","RESERVED FOREST","",""
"jalgaon","raver","reserved-forest","RESERVED FOREST","RESERVED FOREST","",""
"kolh-pur","radhanagari","submerged","SUBMERGED","SUBMERGED","",""
"kolh-pur","radhanagari","submerged","SUBMERGED","SUBMERGED","",""
"kolh-pur","radhanagari","submerged","SUBMERGED","SUBMERGED","",""
"kolh-pur","radhanagari","submerged","SUBMERGED","SUBMERGED","",""
"kolh-pur","radhanagari","submerged","SUBMERGED","SUBMERGED","",""
"kolh-pur","radhanagari","submerged","SUBMERGED","SUBMERGED","",""
"kolh-pur","radhanagari","submerged","SUBMERGED","SUBMERGED","",""
"kolh-pur","radhanagari","submerged","SUBMERGED","SUBMERGED","",""
"kolh-pur","radhanagari","submerged","SUBMERGED","SUBMERGED","",""
"kolh-pur","radhanagari","submerged","SUBMERGED","SUBMERGED","",""
