district,taluka,village
"AHILYANAGAR","SANGAMNER","Sadatpur"
"AHILYANAGAR","PATHARDI","Mohoj Kh."
"AHILYANAGAR","PATHARDI","Chichondi"
"AHILYANAGAR","PATHARDI","Sangavi Kh."
"AHILYANAGAR","PATHARDI","Sonoshi"
"AHILYANAGAR","PATHARDI","Nipani Jalgaon"
"AHILYANAGAR","PATHARDI","Hatra"
"AHILYANAGAR","PATHARDI","Kasarwadi"
"AHILYANAGAR","PATHARDI","Sangavi Bk."
"AHILYANAGAR","PATHARDI","Jirewadi"
"AHILYANAGAR","PATHARDI","Raghohivre"
"AHILYANAGAR","PATHARDI","Parewadi"
"AHILYANAGAR","PATHARDI","Dangewadi"
"AHILYANAGAR","PATHARDI","Wasu"
"AHILYANAGAR","PATHARDI","Kolsangavi"
"AHILYANAGAR","PATHARDI","Mandave"
"AHILYANAGAR","PATHARDI","Saidapur"
"AHILYANAGAR","PATHARDI","Kherde"
"AHILYANAGAR","PATHARDI","Dharwadi"
"AHILYANAGAR","PATHARDI","Kolhar"
"AHILYANAGAR","PATHARDI","Malegaon"
"AHILYANAGAR","PATHARDI","Tisgaon"
"AHILYANAGAR","PATHARDI","Nandur-nimba-daitya"
"AHILYANAGAR","PATHARDI","Somthane Kh."
"AHILYANAGAR","PATHARDI","Damalwadi"
"AHILYANAGAR","PATHARDI","Malibabhulgaon"
"AHILYANAGAR","PATHARDI","Pathardi (M Cl)"
"AHILYANAGAR","PATHARDI","Agaskhand"
"AHILYANAGAR","PATHARDI","Joharwadi"
"AHILYANAGAR","PATHARDI","Bhutetakali"
"AHILYANAGAR","SANGAMNER","Dhupe"
"AHILYANAGAR","SANGAMNER","Jawale Baleshwar"
"AHILYANAGAR","SANGAMNER","Kumbharwadi"
"AHILYANAGAR","SANGAMNER","Rankhambwadi"
"AHILYANAGAR","SANGAMNER","Darewadi"
"AHILYANAGAR","SANGAMNER","Warudi Pathar"
"AHILYANAGAR","SANGAMNER","Kauthewadi"
"AHILYANAGAR","SANGAMNER","Sawargaon Ghule"
"AHILYANAGAR","SANGAMNER","Gunjalwadi"
"AHILYANAGAR","SANGAMNER","Mahalwadi"
"AHILYANAGAR","SANGAMNER","Khambe"
"AHILYANAGAR","SANGAMNER","Sakur"
"AHILYANAGAR","SANGAMNER","Karjule Pathar"
"AHILYANAGAR","SANGAMNER","Sarole Pathar"
"AHILYANAGAR","SANGAMNER","Kawthe Malkapur"
"AHILYANAGAR","SANGAMNER","Shendewadi"
"AHILYANAGAR","SANGAMNER","Dolasane"
"AHILYANAGAR","SANGAMNER","Khandgedara"
"AHILYANAGAR","SANGAMNER","Shindodi"
"AHILYANAGAR","SANGAMNER","Birewadi"
"AHILYANAGAR","SANGAMNER","Kauthe Kh."
"AHILYANAGAR","SANGAMNER","Bambalewadi"
"AHILYANAGAR","SANGAMNER","Malegaon Pathar"
"AHILYANAGAR","SANGAMNER","Kauthe Bk."
"AHILYANAGAR","JAMKHED","Kolhewadi"
"AHILYANAGAR","SANGAMNER","Devkauthe"
"AHILYANAGAR","SANGAMNER","Chincholi Gurav"
"AHILYANAGAR","SANGAMNER","Paregaon Bk."
"AHILYANAGAR","SANGAMNER","Nimon"
"AHILYANAGAR","SANGAMNER","Hasanabad"
"AHILYANAGAR","SANGAMNER","Ajampur"
"AHILYANAGAR","SANGAMNER","Palaskhede"
"AHILYANAGAR","SANGAMNER","Talegaon"
"AHILYANAGAR","SANGAMNER","Pimpale"
"AHILYANAGAR","SANGAMNER","Kakadwadi"
"AHILYANAGAR","KARJAT","Mulewadi"
"AHILYANAGAR","KARJAT","Gondardi"
"AHILYANAGAR","KARJAT","Chande Bk."
"AHILYANAGAR","KARJAT","Nagapur"
"AHILYANAGAR","KARJAT","Chande Kh."
"AHILYANAGAR","KARJAT","Bhose"
"AHILYANAGAR","KARJAT","Diksal"
"AHILYANAGAR","KARJAT","Mahi"
"AHILYANAGAR","KARJAT","Thetewadi"
"AHILYANAGAR","KARJAT","Sitpur"
"AHILYANAGAR","KARJAT","Jalgaon"
"AHILYANAGAR","KARJAT","Takli Khandeshwari"
"AHILYANAGAR","KARJAT","Khurangewadi"
"AHILYANAGAR","AKOLE","Khuntewadi (N.V.)"
"AHILYANAGAR","AKOLE","Khetewadi"
"AHILYANAGAR","AKOLE","Belapur"
"AHILYANAGAR","AKOLE","Chaitanyapur"
"AHILYANAGAR","AKOLE","Jambhale"
"AHILYANAGAR","AKOLE","Jachakwadi"
"AHILYANAGAR","AKOLE","Badgi"
"AHILYANAGAR","SHRIGONDA","Nimgaon Khalu"
"AHILYANAGAR","SHRIGONDA","Ajnuj"
"AHILYANAGAR","SHRIGONDA","Koutha"
"AHILYANAGAR","SHRIGONDA","Arvi"
