district,taluka,village,village_id,reason,candidates
AHILYANAGAR,SANGAMNER,Sangamner (M Cl),v-251539,maha-no-name-match,Abhalwadi;Ajampur;Akalapur;Ambhore;Ambi Dumala
AHILYANAGAR,SANGAMNER,Khanderaywadi (N.V.,v-652105,maha-no-name-match,Abhalwadi;Ajampur;Akalapur;Ambhore;Ambi Dumala
AHILYANAGAR,PATHARDI,Pathardi (M Cl),v-251546,maha-no-name-match,Adgaon;Agaskhand;Akola;Alhanwadi;Ambika Nagar
AHILYANAGAR,PATHARDI,Sevanagar Tanda,v-652111,maha-no-name-match,Adgaon;Agaskhand;Akola;Alhanwadi;Ambika Nagar
AHILYANAGAR,PATHARDI,Kakaddara,v-652114,maha-no-name-match,Adgaon;Agaskhand;Akola;Alhanwadi;Ambika Nagar
AHILYANAGAR,PATHARDI,Vaghdara,v-652113,maha-no-name-match,Adgaon;Agaskhand;Akola;Alhanwadi;Ambika Nagar
AHILYANAGAR,PATHARDI,Vasantrao Naiknagar,v-652110,maha-no-name-match,Adgaon;Agaskhand;Akola;Alhanwadi;Ambika Nagar
AHILYANAGAR,PATHARDI,Bhagvangad Tanda,v-558025N418,maha-no-name-match,Adgaon;Agaskhand;Akola;Alhanwadi;Ambika Nagar
AHILYANAGAR,PATHARDI,Kokispir Tanda,v-557996N414,maha-no-name-match,Adgaon;Agaskhand;Akola;Alhanwadi;Ambika Nagar
AHILYANAGAR,PATHARDI,Ambewadi,v-652109,maha-no-name-match,Adgaon;Agaskhand;Akola;Alhanwadi;Ambika Nagar
AHILYANAGAR,PATHARDI,Hanumannagar Tanda,v-652108,maha-no-name-match,Adgaon;Agaskhand;Akola;Alhanwadi;Ambika Nagar
AHILYANAGAR,JAMKHED,Jamkhed (M CI),v-251554,maha-no-name-match,Aghi;Anandwadi;Apti;Arangaon;Balgavhan
AHILYANAGAR,AKOLE,SUBMERGED,submerged,maha-no-name-match,Abit Khind;Agar;Agastinagar (N.V.);Akola;Ambad
AHILYANAGAR,AKOLE,Varkhadwadi (N.V.),v-652101,maha-no-name-match,Abit Khind;Agar;Agastinagar (N.V.);Akola;Ambad
AHILYANAGAR,SHRIGONDA,RESERVED FOREST,reserved-forest,maha-no-name-match,Adhalgaon;Adhorewadi;Ajnuj;Anandwadi;Angare
AHILYANAGAR,SHRIGONDA,Shrigonda (M Cl),v-251553,maha-no-name-match,Adhalgaon;Adhorewadi;Ajnuj;Anandwadi;Angare
AHILYANAGAR,RAHURI,Deolali Pravara (M Cl),v-251552,maha-no-name-match,Amalner;Ambi;Aradgaon;Babhulgaon;Baragaon Nandur
AHILYANAGAR,RAHURI,Rahuri (M CI),v-251551,maha-no-name-match,Amalner;Ambi;Aradgaon;Babhulgaon;Baragaon Nandur
AHILYANAGAR,RAHURI,Bulepathar,v-652116,maha-no-name-match,Amalner;Ambi;Aradgaon;Babhulgaon;Baragaon Nandur
AHILYANAGAR,NEVASA,Jayagude Akhada,v-557706,maha-empty-marathi,Amalner;Antarwali;Babhulkhede;Babhulwedhe;Bahirwadi
AHILYANAGAR,NEVASA,Lekurwali Akhada,v-557700,maha-empty-marathi,Amalner;Antarwali;Babhulkhede;Babhulwedhe;Bahirwadi
AHILYANAGAR,NEVASA,SUBMERGED,submerged,maha-no-name-match,Amalner;Antarwali;Babhulkhede;Babhulwedhe;Bahirwadi
AHILYANAGAR,KOPARGAON,Kopargaon (M CI),v-251540,maha-no-name-match,Anchalgaon;Anjanapur;Apegaon;Bahadarbad;Bahadarpur
AHILYANAGAR,PARNER,Gadyacha Zap,v-652117,maha-no-name-match,Akkalwadi;Alkuti;Apdhup;Astagaon;Babhulwade
AHILYANAGAR,SHEVGAON,SUBMERGED,submerged,maha-no-name-match,Ahmednagar;Ajangaon;Akewada;Alagondi;Ambada (sonak)
AHILYANAGAR,SHEVGAON,SUBMERGED,submerged-dup-1,maha-no-name-match,Ahmednagar;Ajangaon;Akewada;Alagondi;Ambada (sonak)
AHILYANAGAR,SHEVGAON,SUBMERGED,submerged-dup-2,maha-no-name-match,Ahmednagar;Ajangaon;Akewada;Alagondi;Ambada (sonak)
AHILYANAGAR,SHEVGAON,SUBMERGED,submerged-dup-3,maha-no-name-match,Ahmednagar;Ajangaon;Akewada;Alagondi;Ambada (sonak)
AHILYANAGAR,SHEVGAON,SUBMERGED,submerged-dup-4,maha-no-name-match,Ahmednagar;Ajangaon;Akewada;Alagondi;Ambada (sonak)
AHILYANAGAR,SHEVGAON,SUBMERGED,submerged-dup-5,maha-no-name-match,Ahmednagar;Ajangaon;Akewada;Alagondi;Ambada (sonak)
AHILYANAGAR,SHEVGAON,SUBMERGED,submerged-dup-6,maha-no-name-match,Ahmednagar;Ajangaon;Akewada;Alagondi;Ambada (sonak)
AHILYANAGAR,SHEVGAON,SUBMERGED,submerged-dup-7,maha-no-name-match,Ahmednagar;Ajangaon;Akewada;Alagondi;Ambada (sonak)
AHILYANAGAR,SHEVGAON,SUBMERGED,submerged-dup-8,maha-no-name-match,Ahmednagar;Ajangaon;Akewada;Alagondi;Ambada (sonak)
AHILYANAGAR,SHEVGAON,Shevgaon (M Cl),v-276331,maha-no-name-match,Ahmednagar;Ajangaon;Akewada;Alagondi;Ambada (sonak)
AHILYANAGAR,NAGAR,Pimpari Ghumat,v-558065,maha-empty-marathi,Agadgaon;Akolner;Ambilwadi;Arangaon;Athawad
AHILYANAGAR,NAGAR,Burhanagar(CT),v-558167,maha-empty-marathi,Agadgaon;Akolner;Ambilwadi;Arangaon;Athawad
AHILYANAGAR,NAGAR,Ahilyanagar (M Corp.),v-251548,maha-no-name-match,Agadgaon;Akolner;Ambilwadi;Arangaon;Athawad
AHILYANAGAR,NAGAR,Ahmadnagar (CB),v-277285,maha-no-name-match,Agadgaon;Akolner;Ambilwadi;Arangaon;Athawad
AHILYANAGAR,NAGAR,Bara Babhli,v-558163,maha-empty-marathi,Agadgaon;Akolner;Ambilwadi;Arangaon;Athawad
AHILYANAGAR,NAGAR,Wadarwadi,v-558164,maha-empty-marathi,Agadgaon;Akolner;Ambilwadi;Arangaon;Athawad
AHILYANAGAR,NAGAR,Shahpur-Ketki,v-558165,maha-no-name-match,Agadgaon;Akolner;Ambilwadi;Arangaon;Athawad
AHILYANAGAR,SHRIRAMPUR,Shrirampur (M CI),v-802826,maha-no-name-match,Ainatpur;Belapur Bk.;Belapur Kh.;Bhairavnathnagar;Bhamathan
AHILYANAGAR,RAHTA,Rahta Pimplas (M Cl),v-251543,maha-no-name-match,Adgaon Bk.;Adgaon Kh.;Astagaon;Babhaleshwar Bk.;Babhaleshwar Kh.
AKOLA,MURTIJAPUR,Murtijapur (M Cl),v-251315,maha-no-name-match,Akoli Jaha;Aledatpur;Allapur;Amatwada;Anbhora
